,epoch,iteration/step,loss,accuracy
353,3,5004,1.6693952,0.56640625
354,3,5004,1.7898773,0.54296875
355,3,5004,1.5555749,0.5625
356,3,5004,1.5178671,0.62109375
357,3,5004,1.6920793,0.55859375
358,3,5004,1.4734442,0.6015625
359,3,5004,1.5796463,0.6015625
360,3,5004,1.5829167,0.6015625
361,3,5004,1.6843264,0.59375
362,3,5004,1.5629259,0.6328125
363,3,5004,1.6434336,0.59375
364,3,5004,1.659989,0.56640625
365,3,5004,1.7122947,0.58203125
366,3,5004,1.4503324,0.65234375
367,3,5004,1.5792694,0.57421875
368,3,5004,1.7276586,0.59375
369,3,5004,1.5656838,0.6484375
370,3,5004,1.6172173,0.6171875
371,3,5004,1.702877,0.578125
372,3,5004,1.5852334,0.6015625
373,3,5004,1.6405034,0.58984375
374,3,5004,1.6275675,0.58203125
375,3,5004,1.7278818,0.5703125
376,3,5004,1.9122632,0.49609375
377,3,5004,1.9431574,0.5390625
378,3,5004,1.5920508,0.58984375
379,3,5004,1.7860146,0.5390625
380,3,5004,1.5937352,0.578125
381,3,5004,1.7090251,0.578125
382,3,5004,1.6900699,0.609375
383,3,5004,1.6300628,0.59375
384,3,5004,1.7236985,0.5625
385,3,5004,1.6324766,0.59375
386,3,5004,1.6396974,0.5703125
387,3,5004,1.5078324,0.6171875
388,3,5004,1.7019678,0.59765625
389,3,5004,1.6245325,0.59765625
390,3,5004,1.569139,0.59765625
391,3,5004,1.6900277,0.58203125
392,3,5004,1.3740793,0.58984375
393,3,5004,1.6751814,0.578125
394,3,5004,1.7797201,0.54296875
395,3,5004,1.6341326,0.58984375
396,3,5004,1.8518571,0.52734375
397,3,5004,1.7075882,0.57421875
398,3,5004,1.4931089,0.625
399,3,5004,1.7796714,0.53125
400,3,5004,1.8052435,0.56640625
401,3,5004,1.5772058,0.60546875
402,3,5004,1.65518,0.61328125
403,3,5004,1.7436812,0.5625
404,3,5004,1.7439854,0.55078125
405,3,5004,1.7357669,0.578125
406,3,5004,1.7817633,0.546875
407,3,5004,1.80217,0.56640625
408,3,5004,1.6039513,0.609375
409,3,5004,1.6288217,0.55859375
410,3,5004,1.7940843,0.57421875
411,3,5004,1.7307367,0.578125
412,3,5004,1.661887,0.5859375
413,3,5004,1.6903412,0.5703125
414,3,5004,1.6256807,0.58984375
